t,i,j,readers
1499779460,173,591,"['015', '078']"
1499779460,255,333,"['015', '078']"
1499779460,378,441,"['015', '078']"
1499779460,432,737,"['005', '011', '305']"
1499779460,591,1063,['015']
1499779480,58,1401,"['015', '078']"
1499779480,106,393,"['015', '078']"
1499779480,461,1493,"['015', '078']"
1499779480,591,1063,"['015', '078']"
1499779480,1063,1190,"['015', '078']"
1499779500,55,79,['036']
1499779500,55,788,"['005', '011', '036', '082', '305']"
1499779500,220,1657,"['015', '078']"
1499779500,254,1578,"['015', '078']"
1499779500,694,1441,"['015', '078']"
1499779500,1063,1190,"['015', '078']"
1499779520,97,694,['078']
1499779520,160,591,"['015', '078']"
1499779520,173,461,"['015', '078']"
1499779520,173,591,"['015', '078']"
1499779520,173,1412,"['015', '078']"
1499779520,173,1657,"['015', '078']"
1499779520,334,980,"['015', '078']"
1499779520,378,441,"['015', '078']"
1499779520,378,1493,"['015', '078']"
1499779520,441,1493,['078']
1499779520,441,1745,['078']
1499779520,441,1822,['078']
1499779520,447,1657,['015']
1499779520,591,1063,"['015', '078']"
1499779520,694,1441,['078']
1499779540,8,101,"['015', '078']"
1499779540,101,299,"['015', '078']"
1499779540,101,1190,"['015', '078']"
1499779540,101,1412,"['015', '078']"
1499779540,158,1159,"['015', '078']"
1499779540,181,347,"['015', '078']"
1499779540,203,695,['015']
1499779540,203,869,['015']
1499779540,203,974,['015']
1499779540,203,1037,['015']
1499779540,255,333,['015']
1499779540,325,695,['015']
1499779540,325,974,['015']
1499779540,333,1202,['015']
1499779540,333,1665,"['015', '078']"
1499779540,393,461,"['015', '078']"
1499779540,461,1657,"['015', '078']"
1499779540,461,1745,"['015', '078']"
1499779540,461,1818,"['015', '078']"
1499779540,502,1411,['015']
1499779540,553,741,['078']
1499779540,557,741,['078']
1499779540,591,1811,['015']
1499779540,654,1159,"['015', '078']"
1499779540,701,741,['078']
1499779540,741,936,['078']
1499779540,744,1159,"['015', '078']"
1499779540,980,1159,"['015', '078']"
1499779540,1063,1811,['015']
1499779540,1074,1159,"['015', '078']"
1499779540,1190,1811,['015']
1499779540,1464,1811,['015']
1499779540,1809,1811,['015']
1499779560,55,79,"['005', '082', '305']"
1499779560,55,788,"['005', '036', '082', '305']"
1499779560,55,1670,"['005', '082', '305']"
1499779560,79,788,['036']
1499779560,220,744,"['015', '078']"
1499779560,220,1159,"['015', '078']"
1499779560,251,744,['078']
1499779560,272,974,"['011', '015']"
1499779560,318,980,"['015', '078']"
1499779560,333,1906,"['015', '078']"
1499779560,393,548,['078']
1499779560,461,980,"['015', '078']"
1499779560,488,744,['078']
1499779560,502,974,"['011', '015']"
1499779560,694,1441,"['015', '078']"
1499779560,744,1889,['078']
1499779560,782,974,"['011', '015']"
1499779560,974,1641,"['011', '015']"
1499779560,974,1657,"['011', '015']"
1499779560,980,1411,"['015', '078']"
1499779560,980,1657,"['015', '078']"
1499779560,1063,1457,['078']
1499779560,1392,1852,"['015', '078']"
1499779560,1457,1493,['078']
1499779560,1604,1906,"['015', '078']"
1499779580,8,1852,['015']
1499779580,39,502,"['005', '011', '036', '305']"
1499779580,39,581,"['005', '011', '014', '036', '305']"
1499779580,58,591,"['015', '078']"
1499779580,58,1622,"['015', '078']"
1499779580,101,591,"['015', '078']"
1499779580,147,441,"['015', '078']"
1499779580,172,744,['015']
1499779580,173,221,"['015', '078']"
1499779580,173,255,"['015', '078']"
1499779580,173,441,"['015', '078']"
1499779580,173,1818,"['015', '078']"
1499779580,234,591,"['015', '078']"
1499779580,378,441,"['015', '078']"
1499779580,441,447,"['015', '078']"
1499779580,441,1063,"['015', '078']"
1499779580,441,1493,"['015', '078']"
1499779580,441,1609,"['015', '078']"
1499779580,502,581,"['005', '011', '014', '036', '305']"
1499779580,591,1202,"['015', '078']"
1499779580,591,1401,"['015', '078']"
1499779580,591,1449,"['015', '078']"
1499779580,1202,1409,"['015', '078']"
1499779580,1202,1902,['015']
1499779580,1401,1409,"['015', '078']"
1499779580,1401,1902,['015']
1499779600,8,107,"['011', '036', '305']"
1499779600,8,305,"['011', '036', '305']"
1499779600,8,318,"['011', '036', '305']"
1499779600,8,869,"['011', '036', '305']"
1499779600,8,1852,"['011', '036', '305']"
1499779600,39,333,"['005', '011', '036']"
1499779600,58,101,"['011', '036', '305']"
1499779600,76,1604,"['011', '036', '305']"
1499779600,101,299,"['011', '036', '305']"
1499779600,101,393,"['011', '036', '305']"
1499779600,101,591,"['011', '036', '305']"
1499779600,101,1811,"['011', '036', '305']"
1499779600,158,991,"['011', '036']"
1499779600,160,1609,['015']
1499779600,220,1159,['015']
1499779600,296,1609,['015']
1499779600,305,751,['011']
1499779600,333,502,"['005', '011', '036']"
1499779600,701,741,"['015', '078']"
1499779600,991,1889,"['011', '036']"
1499779600,1604,1906,"['011', '036', '305']"
1499779620,8,869,"['011', '036', '305']"
1499779620,21,160,"['015', '078']"
1499779620,21,296,"['015', '078']"
1499779620,21,852,"['015', '078']"
1499779620,76,1074,"['005', '036', '305']"
1499779620,76,1604,"['005', '036', '305']"
1499779620,76,1906,"['005', '036', '305']"
1499779620,79,788,"['005', '036', '082']"
1499779620,107,548,"['011', '036', '038']"
1499779620,107,553,"['011', '036', '038']"
1499779620,115,869,"['011', '036', '305']"
1499779620,115,1906,"['036', '305']"
1499779620,160,852,"['015', '078']"
1499779620,210,454,"['015', '078']"
1499779620,220,1159,"['015', '078']"
1499779620,299,1190,"['011', '305']"
1499779620,299,1811,['305']
1499779620,454,480,"['015', '078']"
1499779620,502,869,"['011', '036', '305']"
1499779620,703,869,"['011', '036', '305']"
1499779620,782,869,"['011', '036', '305']"
1499779620,788,874,"['005', '036', '082']"
1499779620,869,1421,"['011', '036', '305']"
1499779620,869,1887,"['011', '036', '305']"
1499779620,974,1745,"['011', '015', '036', '305']"
1499779620,980,1190,"['011', '305']"
1499779620,980,1811,['305']
1499779620,1074,1906,"['036', '305']"
1499779620,1190,1452,"['011', '305']"
1499779620,1604,1906,"['036', '305']"
1499779640,8,318,['305']
1499779640,8,441,['011']
1499779640,8,1852,['036']
1499779640,28,210,"['015', '078']"
1499779640,28,1609,"['015', '078']"
1499779640,32,173,"['011', '036', '305']"
1499779640,39,581,"['005', '011', '036', '305']"
1499779640,39,869,"['005', '011', '036', '305']"
1499779640,101,115,"['005', '036', '154', '305']"
1499779640,158,441,['011']
1499779640,172,251,"['005', '011', '082', '305']"
1499779640,172,695,"['005', '011', '082', '305']"
1499779640,173,255,"['011', '036', '305']"
1499779640,173,393,"['011', '036', '305']"
1499779640,173,502,"['011', '036', '305']"
1499779640,173,782,"['011', '036', '305']"
1499779640,173,980,"['011', '036', '305']"
1499779640,173,1818,"['011', '036', '305']"
1499779640,173,1852,"['011', '036', '305']"
1499779640,210,296,"['015', '078']"
1499779640,221,277,"['015', '078']"
1499779640,255,1168,"['011', '036', '305']"
1499779640,255,1852,"['011', '036', '305']"
1499779640,296,1609,"['015', '078']"
1499779640,305,441,['011']
1499779640,305,1852,['036']
1499779640,318,502,['305']
1499779640,318,548,['305']
1499779640,318,558,['305']
1499779640,318,737,['305']
1499779640,318,1852,"['036', '305']"
1499779640,378,441,['011']
1499779640,393,441,['011']
1499779640,432,591,"['011', '036', '294', '305']"
1499779640,441,502,['011']
1499779640,441,980,['011']
1499779640,488,1852,['036']
1499779640,502,1852,['036']
1499779640,591,1449,"['011', '036', '294', '305']"
1499779640,974,1745,['011']
1499779640,980,1852,['036']
1499779660,8,158,['305']
1499779660,8,305,['305']
1499779660,8,441,['305']
1499779660,32,1852,"['011', '305']"
1499779660,76,1604,"['036', '082']"
1499779660,97,1159,"['036', '305']"
1499779660,220,1159,"['036', '305']"
1499779660,296,1609,"['015', '078']"
1499779660,393,553,"['005', '036', '305']"
1499779660,429,1159,"['036', '305']"
1499779660,441,590,"['036', '305']"
1499779660,441,1887,['305']
1499779660,496,779,['305']
1499779660,553,590,"['005', '036', '305']"
1499779660,553,1190,"['005', '036', '305']"
1499779660,649,1055,"['015', '078']"
1499779660,701,741,"['015', '078']"
1499779660,953,1887,['305']
1499779660,980,1887,['305']
1499779660,1052,1889,"['011', '036', '305']"
1499779660,1159,1202,"['036', '305']"
1499779660,1159,1401,"['036', '305']"
1499779660,1159,1409,"['036', '305']"
1499779660,1604,1906,"['036', '082']"
1499779680,47,107,"['036', '305']"
1499779680,55,1108,"['005', '036']"
1499779680,76,1604,"['005', '036', '082']"
1499779680,76,1906,"['005', '036', '082']"
1499779680,79,788,"['005', '011', '036', '082']"
1499779680,210,220,"['011', '305']"
1499779680,220,1159,"['011', '305']"
1499779680,220,1202,"['011', '305']"
1499779680,220,1401,"['011', '305']"
1499779680,220,1409,"['011', '305']"
1499779680,220,1902,"['011', '305']"
1499779680,232,737,"['005', '011', '014', '036']"
1499779680,333,788,"['005', '011', '036', '082']"
1499779680,591,1449,['305']
1499779680,735,797,"['005', '036']"
1499779680,1074,1464,"['005', '011', '036']"
1499779680,1457,1493,"['005', '011', '154']"
1499779700,8,39,"['005', '011', '036', '305']"
1499779700,8,581,"['005', '036']"
1499779700,21,1401,['305']
1499779700,28,210,"['036', '305']"
1499779700,28,393,"['036', '305']"
1499779700,39,376,"['005', '011', '036', '305']"
1499779700,39,581,"['005', '011', '036', '305']"
1499779700,97,1401,['305']
1499779700,97,1902,"['011', '036', '305']"
1499779700,115,173,"['036', '305']"
1499779700,158,1168,"['011', '305']"
1499779700,173,255,"['011', '036', '305']"
1499779700,173,980,"['036', '305']"
1499779700,173,1159,"['036', '305']"
1499779700,173,1202,"['036', '305']"
1499779700,220,1409,"['011', '036']"
1499779700,220,1902,"['011', '036', '305']"
1499779700,221,277,"['015', '078']"
1499779700,251,591,"['011', '036', '305']"
1499779700,255,980,"['011', '036', '305']"
1499779700,255,1401,"['011', '036', '305']"
1499779700,255,1715,"['011', '036', '305']"
1499779700,296,1609,"['015', '078']"
1499779700,376,1168,"['011', '305']"
1499779700,378,441,"['014', '036', '305']"
1499779700,387,1852,"['015', '305']"
1499779700,393,591,"['011', '036', '305']"
1499779700,429,591,"['011', '036', '305']"
1499779700,502,1852,"['015', '305']"
1499779700,591,1449,"['011', '036', '305']"
1499779700,778,1452,"['005', '036', '305']"
1499779700,782,1852,"['015', '305']"
1499779700,1159,1401,['305']
1499779700,1159,1902,"['011', '036', '305']"
1499779700,1168,1421,"['011', '305']"
1499779700,1168,1457,"['011', '305']"
1499779700,1168,1889,"['011', '305']"
1499779700,1202,1902,"['011', '036', '305']"
1499779700,1409,1715,"['011', '036']"
1499779700,1409,1902,"['011', '036', '305']"
1499779700,1452,1889,"['005', '036', '305']"
1499779720,8,39,"['005', '036', '305']"
1499779720,8,581,"['005', '036', '305']"
1499779720,8,869,"['005', '036', '305']"
1499779720,21,852,"['011', '036']"
1499779720,39,376,"['036', '305']"
1499779720,39,703,['154']
1499779720,76,376,"['036', '305']"
1499779720,97,1159,"['011', '036']"
1499779720,115,1748,"['011', '036', '305']"
1499779720,160,852,"['011', '036']"
1499779720,181,687,"['005', '011', '015', '036', '305']"
1499779720,181,1212,"['005', '011', '015', '036', '305']"
1499779720,181,1665,"['005', '011', '015', '036', '305']"
1499779720,181,1668,"['005', '011', '015', '036', '305']"
1499779720,210,1457,"['005', '011', '036']"
1499779720,210,1493,"['005', '011', '036']"
1499779720,210,1887,"['005', '011', '036', '154', '305']"
1499779720,220,1748,"['011', '036', '305']"
1499779720,232,737,"['005', '011', '305']"
1499779720,296,1609,"['015', '078']"
1499779720,299,1190,"['005', '011', '036', '154']"
1499779720,325,376,"['036', '305']"
1499779720,347,991,['294']
1499779720,376,581,"['036', '305']"
1499779720,376,703,"['036', '154', '305']"
1499779720,376,1421,"['036', '305']"
1499779720,376,1604,"['036', '305']"
1499779720,387,429,['305']
1499779720,387,695,['305']
1499779720,387,1852,['305']
1499779720,502,782,"['011', '015', '305']"
1499779720,695,782,"['011', '015', '305']"
1499779720,701,741,"['015', '078']"
1499779720,703,1421,['154']
1499779720,852,1159,"['011', '036']"
1499779720,980,1748,"['011', '036', '305']"
1499779720,1074,1464,"['005', '036', '305']"
1499779720,1159,1401,"['011', '036']"
1499779720,1159,1902,"['011', '036']"
1499779720,1457,1887,"['005', '011', '036', '154', '305']"
1499779740,8,869,"['005', '011', '036', '305']"
1499779740,39,869,"['005', '011', '036', '305']"
1499779740,39,1421,"['005', '036']"
1499779740,47,1392,['036']
1499779740,47,1457,"['005', '011']"
1499779740,55,447,"['005', '011', '036', '082']"
1499779740,55,832,"['005', '011', '036', '082']"
1499779740,55,1108,"['005', '011', '036', '082']"
1499779740,55,1906,"['005', '011', '036', '082']"
1499779740,79,788,"['005', '036', '082', '305']"
1499779740,97,1159,"['011', '036', '305']"
1499779740,107,591,['305']
1499779740,210,1392,['036']
1499779740,210,1457,"['005', '011']"
1499779740,220,1159,"['011', '036', '305']"
1499779740,220,1409,"['011', '036', '305']"
1499779740,220,1902,"['011', '036', '305']"
1499779740,251,591,['305']
1499779740,251,1449,['305']
1499779740,325,461,"['005', '036', '305']"
1499779740,333,788,"['005', '036', '082', '305']"
1499779740,376,869,"['005', '011', '036', '305']"
1499779740,387,980,['305']
1499779740,429,980,"['005', '011', '036', '305']"
1499779740,454,480,['015']
1499779740,454,741,['015']
1499779740,461,779,"['005', '036', '305']"
1499779740,461,869,"['005', '011', '036', '305']"
1499779740,502,695,"['011', '036', '305']"
1499779740,502,782,"['011', '036', '305']"
1499779740,502,980,"['011', '036', '305']"
1499779740,591,1449,['305']
1499779740,701,1063,"['015', '078']"
1499779740,703,1421,"['005', '036']"
1499779740,779,1392,['036']
1499779740,1074,1464,"['011', '036']"
1499779740,1392,1604,['036']
1499779740,1421,1887,"['005', '036']"
1499779740,1457,1493,"['005', '011']"
1499779740,1457,1818,"['005', '011']"
1499779760,8,39,"['005', '036', '305']"
1499779760,8,581,"['005', '011', '036', '305']"
1499779760,39,581,"['005', '011', '036', '305']"
1499779760,39,869,"['005', '036', '305']"
1499779760,39,1421,"['005', '036', '305']"
1499779760,158,1168,"['005', '036', '305']"
1499779760,173,255,"['005', '011', '014', '036', '305']"
1499779760,193,1401,['015']
1499779760,220,1409,"['011', '036', '305']"
1499779760,220,1902,"['011', '305']"
1499779760,221,277,"['011', '015']"
1499779760,232,779,"['036', '305']"
1499779760,251,393,"['011', '305']"
1499779760,251,591,"['015', '036', '305']"
1499779760,277,936,"['011', '015']"
1499779760,296,1609,['015']
1499779760,299,1190,['154']
1499779760,305,751,"['011', '036']"
1499779760,305,1668,"['011', '036']"
1499779760,318,512,['011']
1499779760,364,1401,['015']
1499779760,393,591,"['011', '015', '036', '305']"
1499779760,429,1401,['015']
1499779760,441,1401,['015']
1499779760,581,869,"['005', '011', '036', '305']"
1499779760,591,1449,"['015', '036', '305']"
1499779760,797,1735,"['011', '036']"
1499779760,869,1168,"['005', '036', '305']"
1499779760,953,1502,"['036', '305']"
1499779760,953,1889,"['036', '305']"
1499779760,991,1401,['015']
1499779760,1159,1902,"['011', '305']"
1499779760,1168,1392,"['005', '036', '305']"
1499779760,1168,1818,"['005', '036', '305']"
1499779760,1409,1902,"['011', '036', '305']"
1499779780,32,488,"['005', '036', '305']"
1499779780,32,1212,"['005', '036', '305']"
1499779780,55,1108,"['005', '036', '082']"
1499779780,97,1159,['305']
1499779780,106,453,"['005', '011', '036', '305']"
1499779780,210,1457,"['011', '036', '305']"
1499779780,210,1493,"['011', '036', '305']"
1499779780,296,1609,"['015', '078']"
1499779780,333,1108,"['005', '036', '082']"
1499779780,364,845,['305']
1499779780,387,590,"['011', '305']"
1499779780,453,553,"['005', '011', '036', '305']"
1499779780,453,1889,"['005', '011', '036', '305']"
1499779780,461,1887,"['005', '036', '305']"
1499779780,581,1887,"['005', '036', '305']"
1499779780,590,1852,"['011', '305']"
1499779780,1074,1464,"['036', '305']"
1499779780,1159,1902,['305']
1499779800,55,447,"['005', '036']"
1499779800,55,1108,"['005', '036']"
1499779800,55,1604,"['005', '036']"
1499779800,55,1811,"['005', '036']"
1499779800,55,1906,"['005', '036']"
1499779800,76,558,"['005', '011', '036']"
1499779800,76,869,"['005', '011', '036']"
1499779800,107,1889,"['011', '036', '305']"
1499779800,210,1457,"['005', '011']"
1499779800,220,454,"['011', '015', '036', '078', '305']"
1499779800,220,1409,"['011', '036', '305']"
1499779800,220,1902,"['011', '036', '305']"
1499779800,251,591,"['015', '305']"
1499779800,325,1818,"['011', '036', '082', '305']"
1499779800,333,376,"['005', '011', '036', '082']"
1499779800,333,788,"['005', '011', '036', '082']"
1499779800,333,869,"['005', '011', '036', '082']"
1499779800,347,387,"['011', '036', '305']"
1499779800,347,1674,"['011', '036', '305']"
1499779800,347,1715,"['011', '036', '305']"
1499779800,364,980,['036']
1499779800,393,1449,"['294', '305']"
1499779800,432,980,['036']
1499779800,454,480,"['015', '078']"
1499779800,461,1074,"['005', '036']"
1499779800,491,980,"['036', '305']"
1499779800,502,695,"['011', '015', '305']"
1499779800,502,1674,"['011', '015', '305']"
1499779800,502,1852,"['011', '015', '305']"
1499779800,591,1449,"['294', '305']"
1499779800,703,1421,"['005', '036']"
1499779800,953,1502,"['036', '305']"
1499779800,959,980,"['036', '305']"
1499779800,1074,1464,"['005', '036']"
1499779800,1457,1493,"['005', '011']"
1499779800,1502,1889,"['036', '305']"
1499779800,1604,1811,"['005', '036']"
1499779800,1811,1906,"['005', '036']"
1499779820,8,39,"['005', '036']"
1499779820,8,581,"['011', '036', '305']"
1499779820,39,581,"['005', '011', '036', '305']"
1499779820,97,1409,"['011', '036', '305']"
1499779820,115,974,"['005', '011', '014', '036']"
1499779820,173,255,"['011', '036', '305']"
1499779820,173,488,"['036', '305']"
1499779820,220,1409,"['011', '036', '305']"
1499779820,220,1902,"['011', '305']"
1499779820,221,779,"['005', '011', '036', '305']"
1499779820,232,779,"['005', '011', '036', '305']"
1499779820,251,393,['305']
1499779820,251,591,"['015', '036', '294', '305']"
1499779820,296,841,['015']
1499779820,296,1609,['015']
1499779820,305,751,"['011', '305']"
1499779820,305,852,"['011', '305']"
1499779820,318,512,['305']
1499779820,387,1852,['305']
1499779820,393,591,"['015', '036', '294', '305']"
1499779820,393,1449,['305']
1499779820,447,548,"['005', '036']"
1499779820,502,1852,['305']
1499779820,548,1604,"['005', '036']"
1499779820,548,1735,"['005', '036']"
1499779820,591,1449,"['015', '036', '294', '305']"
1499779820,591,1748,"['015', '036', '294', '305']"
1499779820,695,1852,['305']
1499779820,737,779,"['005', '011', '036', '305']"
1499779820,782,1852,['305']
1499779820,1159,1902,"['011', '305']"
1499779820,1409,1902,"['011', '036', '305']"
1499779840,8,221,"['005', '011', '036', '305']"
1499779840,21,852,"['011', '036']"
1499779840,39,221,"['005', '011', '036', '305']"
1499779840,55,1604,"['005', '036']"
1499779840,97,1159,"['011', '014', '036', '305']"
1499779840,115,974,"['005', '011', '014', '036', '038', '305']"
1499779840,160,852,"['011', '036']"
1499779840,221,277,"['005', '011', '036', '305']"
1499779840,221,318,"['005', '011', '036', '305']"
1499779840,277,453,"['036', '305']"
1499779840,296,1609,"['015', '078']"
1499779840,305,852,"['011', '036']"
1499779840,318,512,"['011', '036', '305']"
1499779840,364,387,"['036', '305']"
1499779840,387,590,"['011', '015', '036', '305']"
1499779840,387,695,"['036', '305']"
1499779840,387,1852,"['036', '305']"
1499779840,429,1887,"['005', '036']"
1499779840,432,980,"['036', '305']"
1499779840,453,553,"['036', '305']"
1499779840,590,1852,"['011', '015', '305']"
1499779840,694,1609,"['015', '078']"
1499779840,741,1159,"['011', '014', '036', '305']"
1499779840,852,1159,"['011', '014', '036', '305']"
1499779840,1074,1464,"['036', '305']"
1499779840,1411,1464,"['036', '305']"
1499779840,1604,1811,"['005', '036']"
1499779860,21,160,"['011', '078', '305']"
1499779860,21,852,"['011', '078', '305']"
1499779860,39,1421,"['036', '082', '305']"
1499779860,76,579,"['014', '036', '305']"
1499779860,76,1502,"['014', '036', '305']"
1499779860,79,788,['005']
1499779860,97,220,"['011', '305']"
1499779860,160,852,['011']
1499779860,170,1493,"['011', '036']"
1499779860,181,1063,"['015', '078']"
1499779860,193,220,"['011', '305']"
1499779860,193,1684,['305']
1499779860,210,1493,"['011', '036']"
1499779860,220,841,"['011', '305']"
1499779860,220,1409,"['011', '305']"
1499779860,220,1902,"['011', '305']"
1499779860,251,393,['305']
1499779860,251,591,['305']
1499779860,251,1449,['305']
1499779860,276,991,['305']
1499779860,277,553,"['011', '305']"
1499779860,325,461,"['005', '011', '036', '082', '305']"
1499779860,376,500,"['036', '305']"
1499779860,393,1449,['305']
1499779860,432,980,"['011', '036', '305']"
1499779860,453,553,"['011', '305']"
1499779860,502,590,"['011', '305']"
1499779860,502,695,"['011', '305']"
1499779860,502,1852,"['011', '305']"
1499779860,591,1449,['305']
1499779860,701,1063,"['015', '078']"
1499779860,703,1421,"['036', '082', '305']"
1499779860,782,980,"['011', '036', '305']"
1499779860,845,980,"['011', '036', '305']"
1499779860,869,1074,"['005', '036']"
1499779860,874,959,"['014', '036', '305']"
1499779860,959,980,"['011', '014', '036', '305']"
1499779860,1074,1464,"['005', '036']"
1499779880,8,581,"['005', '011', '036']"
1499779880,39,581,"['005', '011', '036']"
1499779880,45,615,"['015', '078']"
1499779880,97,1902,['011']
1499779880,115,778,"['005', '011', '036', '305']"
1499779880,173,255,"['036', '305']"
1499779880,173,276,"['011', '036', '305']"
1499779880,210,778,"['005', '011', '036', '305']"
1499779880,210,869,"['005', '036', '154', '305']"
1499779880,220,1409,['011']
1499779880,220,1902,['011']
1499779880,232,779,"['036', '154', '305']"
1499779880,251,393,['305']
1499779880,251,591,"['011', '014', '305']"
1499779880,276,841,"['011', '305']"
1499779880,276,1684,"['011', '305']"
1499779880,296,1609,['078']
1499779880,305,694,"['011', '036', '305']"
1499779880,305,751,"['011', '036', '305']"
1499779880,305,852,"['011', '036', '305']"
1499779880,305,869,"['005', '011', '036', '154', '305']"
1499779880,305,974,"['011', '036', '305']"
1499779880,393,591,"['011', '014', '305']"
1499779880,393,1449,['305']
1499779880,441,974,"['011', '036', '305']"
1499779880,480,779,"['036', '154', '305']"
1499779880,579,974,"['011', '036', '305']"
1499779880,591,1449,"['011', '014', '305']"
1499779880,737,779,"['036', '154', '305']"
1499779880,741,1080,"['036', '305']"
1499779880,751,869,"['005', '036', '154', '305']"
1499779880,778,869,"['005', '011', '036', '154', '305']"
1499779880,869,1457,"['005', '036', '154', '305']"
1499779880,1409,1902,['011']
1499779900,8,39,"['011', '036', '305']"
1499779900,8,221,"['011', '036', '305']"
1499779900,8,581,"['011', '036', '305']"
1499779900,21,852,"['011', '036']"
1499779900,21,1159,"['011', '036', '305']"
1499779900,39,221,['036']
1499779900,55,1108,"['005', '011', '036']"
1499779900,55,1604,"['005', '036']"
1499779900,97,1159,"['011', '036', '305']"
1499779900,107,1887,"['005', '036', '082']"
1499779900,160,852,"['011', '036']"
1499779900,181,701,"['015', '078']"
1499779900,221,277,['036']
1499779900,221,581,['036']
1499779900,254,1159,"['011', '036', '305']"
1499779900,296,1609,['078']
1499779900,305,852,"['011', '036']"
1499779900,333,1887,"['005', '036', '082']"
1499779900,387,590,"['011', '305']"
1499779900,387,695,"['011', '305']"
1499779900,387,768,"['011', '305']"
1499779900,387,841,"['011', '305']"
1499779900,387,1852,"['011', '305']"
1499779900,393,1818,['305']
1499779900,447,548,['005']
1499779900,453,553,"['005', '036', '305']"
1499779900,583,1116,"['015', '078']"
1499779900,694,1641,"['005', '011', '036', '305']"
1499779900,701,1063,"['015', '078']"
1499779900,782,980,['305']
1499779900,841,1715,"['011', '036', '305']"
1499779900,852,1159,"['011', '036', '305']"
1499779900,1074,1464,"['005', '036', '305']"
1499779900,1108,1604,"['005', '011', '036']"
1499779900,1604,1811,"['005', '036']"
1499779900,1684,1715,"['011', '036', '305']"
1499779900,1822,1906,"['005', '011', '036']"
1499779920,79,788,"['005', '036']"
1499779920,97,220,"['011', '305']"
1499779920,107,333,"['005', '036', '082', '305']"
1499779920,196,325,"['005', '011', '036', '305']"
1499779920,196,461,"['005', '036', '305']"
1499779920,196,1074,"['005', '036']"
1499779920,210,1421,"['011', '036', '305']"
1499779920,220,995,"['011', '305']"
1499779920,220,1409,"['011', '305']"
1499779920,220,1902,"['011', '305']"
1499779920,251,591,['305']
1499779920,251,1449,['305']
1499779920,325,461,"['005', '011', '036', '305']"
1499779920,333,376,"['005', '036', '082', '305']"
1499779920,333,1323,"['005', '036', '082', '305']"
1499779920,333,1887,"['005', '036', '082', '305']"
1499779920,347,841,"['011', '015', '305']"
1499779920,347,1674,"['011', '015', '305']"
1499779920,347,1715,"['011', '015', '305']"
1499779920,453,553,"['011', '305']"
1499779920,454,480,['154']
1499779920,487,998,['154']
1499779920,502,695,['036']
1499779920,502,768,['036']
1499779920,591,1449,['305']
1499779920,701,1063,"['015', '078']"
1499779920,703,1421,"['011', '036', '305']"
1499779920,741,980,['305']
1499779920,788,1323,"['005', '036']"
1499779920,959,980,['305']
1499779920,974,1202,"['005', '011', '036', '305']"
1499779920,991,1037,"['011', '015', '305']"
1499779920,1074,1464,"['005', '036']"
1499779920,1202,1401,"['005', '011', '036', '305']"
1499779920,1457,1493,"['036', '154', '305']"
1499779940,8,277,"['011', '036', '305']"
1499779940,39,277,"['011', '036', '305']"
1499779940,170,1409,"['011', '036', '305']"
1499779940,173,255,"['005', '011', '014', '036', '154', '305']"
1499779940,220,1409,"['011', '036', '305']"
1499779940,221,277,"['011', '036', '305']"
1499779940,242,255,"['005', '011', '014', '036', '154', '305']"
1499779940,251,591,"['011', '015', '305']"
1499779940,296,1609,"['015', '078']"
1499779940,305,751,"['011', '305']"
1499779940,305,852,"['011', '305']"
1499779940,393,591,"['011', '015', '305']"
1499779940,393,1449,['305']
1499779940,487,998,"['014', '154']"
1499779940,502,768,"['011', '015', '305']"
1499779940,590,768,"['011', '015', '305']"
1499779940,591,1449,"['011', '015', '305']"
1499779940,695,768,"['011', '015', '305']"
1499779940,768,1852,"['011', '015', '305']"
1499779940,936,1670,"['005', '011', '036']"
1499779940,1202,1401,"['005', '011', '036', '305']"
1499779940,1409,1902,"['011', '036', '305']"
1499779960,8,39,"['005', '011', '036', '305']"
1499779960,8,221,"['005', '011', '036', '305']"
1499779960,8,581,"['005', '011', '036', '305']"
1499779960,21,852,['011']
1499779960,21,1159,['011']
1499779960,28,488,"['011', '036', '305']"
1499779960,32,488,"['011', '036', '305']"
1499779960,45,1159,['011']
1499779960,55,1108,"['005', '036', '154']"
1499779960,55,1604,"['005', '036']"
1499779960,97,1159,['011']
1499779960,107,1108,"['005', '036', '154']"
1499779960,115,974,"['005', '036', '305']"
1499779960,115,1464,"['005', '036', '305']"
1499779960,160,852,['011']
1499779960,193,220,"['011', '305']"
1499779960,193,310,"['011', '305']"
1499779960,221,277,"['036', '305']"
1499779960,255,378,"['036', '305']"
1499779960,296,1609,"['015', '078']"
1499779960,305,852,['011']
1499779960,332,1609,"['015', '078']"
1499779960,347,1715,"['011', '036', '305']"
1499779960,364,1856,['036']
1499779960,378,488,"['011', '036', '305']"
1499779960,378,852,"['011', '036', '305']"
1499779960,378,1080,"['036', '305']"
1499779960,378,1745,"['036', '305']"
1499779960,387,590,['305']
1499779960,387,695,['305']
1499779960,387,1684,['305']
1499779960,387,1852,['305']
1499779960,453,553,"['036', '305']"
1499779960,579,1482,['036']
1499779960,615,1159,['011']
1499779960,841,1715,"['011', '036', '305']"
1499779960,852,1159,['011']
1499779960,1074,1464,"['005', '036', '305']"
1499779960,1604,1811,"['005', '036']"
1499779980,8,39,"['036', '305']"
1499779980,21,160,"['011', '305']"
1499779980,21,305,"['011', '305']"
1499779980,21,852,"['011', '305']"
1499779980,21,1902,"['011', '305']"
